"#","Region","Country/Territory","2000","2011","2021","2030","2045","Type"
"113","Middle East and North Africa","Jordan","-","12.1","15.4","17.1","18.0","Country"
"114","Europe","Kazakhstan","-","7.7","6.6","7.3","7.7","Country"
"115","Africa","Kenya","-","5.1","4.0","4.0","3.9","Country"
"116","Western Pacific","Kiribati","-","25.3","22.1","23.5","24.1","Country"
"117","Middle East and North Africa","Kuwait","-","20.7","24.9","28.1","29.8","Country"
"118","Europe","Kyrgyzstan","-","6.3","6.6","7.3","7.7","Country"
"119","Western Pacific","Lao People's Democratic Republic","-","3.3","6.2","7.1","7.5","Country"
"120","Europe","Latvia","-","7.8","5.9","6.6","7.1","Country"
"121","Middle East and North Africa","Lebanon","-","19.6","8.0","9.2","10.0","Country"
"122","Africa","Lesotho","-","3.4","4.6","4.9","5.0","Country"
"123","Africa","Liberia","-","3.3","2.1","2.2","2.3","Country"
"124","Middle East and North Africa","Libya","-","13.8","8.7","9.3","9.7","Country"
"125","Europe","Liechtenstein","-","4.7","6.1","6.9","7.4","Country"
"126","Europe","Lithuania","-","7.8","5.8","6.7","7.4","Country"
"127","Europe","Luxembourg","-","4.5","5.9","6.6","7.3","Country"
"128","Africa","Madagascar","-","4.7","4.6","4.9","5.0","Country"
"129","Africa","Malawi","-","5.6","7.3","7.4","7.4","Country"
"130","Western Pacific","Malaysia","-","12.1","19.0","18.9","19.6","Country"
"131","South-East Asia","Maldives","-","9.2","9.2","10.0","10.4","Country"
"132","Africa","Mali","-","1.9","2.1","2.2","2.3","Country"
"133","Europe","Malta","-","6.6","8.0","8.7","9.4","Country"
"134","Western Pacific","Marshall Islands","-","21.8","23.0","24.8","26.0","Country"
"135","North America and Caribbean","Martinique","-","12.1","-","-","-","Country"
"136","Africa","Mauritania","-","4.3","2.1","2.2","2.3","Country"
"137","South-East Asia","Mauritius","15.0","14.8","22.6","25.2","26.6","Country"
"138","Africa","Mayotte","-","-","4.6","4.9","5.0","Country"
"139","North America and Caribbean","Mexico","14.2","15.6","16.9","18.3","18.9","Country"
"140","Western Pacific","Micronesia (Federated States of)","-","15.7","15.6","16.9","17.4","Country"
"141","Europe","Monaco","-","5.6","6.2","7.3","7.9","Country"
"142","Western Pacific","Mongolia","-","7.1","6.9","7.0","7.0","Country"
"143","Europe","Montenegro","-","7.7","9.1","10.2","10.9","Country"
"144","Middle East and North Africa","Morocco","-","6.8","9.1","9.8","10.2","Country"
"145","Africa","Mozambique","-","3.1","3.3","3.4","3.4","Country"
"146","Western Pacific","Myanmar","-","7.1","7.1","7.7","8.0","Country"
"147","Africa","Namibia","-","7.8","6.7","7.3","7.9","Country"
"148","Western Pacific","Nauru","-","20.4","23.4","25.0","26.2","Country"
"149","South-East Asia","Nepal","-","3.6","8.7","9.2","9.4","Country"
"150","Europe","Netherlands","-","5.3","4.5","5.3","5.8","Country"
"151","North America and Caribbean","Netherlands Antilles","-","12.0","-","-","-","Country"
"152","Western Pacific","New Caledonia","-","8.6","23.4","25.0","26.2","Country"
"153","Western Pacific","New Zealand","-","8.6","6.2","7.0","7.5","Country"
"154","South and Central America","Nicaragua","-","11.0","9.3","10.2","10.6","Country"
"155","Africa","Niger","-","4.2","5.2","5.1","5.0","Country"
"156","Africa","Nigeria","-","4.8","3.6","3.7","3.7","Country"
"157","Western Pacific","Niue","-","9.8","-","-","-","Country"
"158","Western Pacific","Northern Mariana Islands","-","-","23.4","25.0","26.2","Country"
"159","Europe","North Macedonia","-","7.7","6.1","7.0","7.6","Country"
"160","Europe","Norway","-","4.7","3.6","4.1","4.4","Country"
"161","Middle East and North Africa","Oman","-","10.5","13.8","15.0","15.4","Country"
"162","Middle East and North Africa","Pakistan","11.8","7.9","30.8","32.8","33.6","Country"
"163","Western Pacific","Palau","-","11.1","17.0","18.2","19.1","Country"
"164","South and Central America","Panama","-","9.4","8.2","8.9","9.3","Country"
"165","Western Pacific","Papua New Guinea","15.5","7.6","16.7","16.7","16.8","Country"
"166","South and Central America","Paraguay","-","6.5","7.5","8.3","8.8","Country"
"167","South and Central America","Peru","-","6.0","4.8","5.3","5.5","Country"
"168","Western Pacific","Philippines","-","9.7","7.1","7.8","8.2","Country"
"169","Europe","Poland","-","9.0","6.8","7.8","8.5","Country"
"170","Europe","Portugal","-","9.6","9.1","10.3","11.0","Country"
"171","South and Central America","Puerto Rico","-","13.0","13.3","15.0","15.9","Country"
"172","Middle East and North Africa","Qatar","-","19.8","19.5","21.7","22.8","Country"
"173","Africa","Réunion","-","16.0","-","-","-","Country"
"174","Western Pacific","Republic of Korea","-","7.5","6.8","7.2","7.8","Country"
"175","Europe","Republic of Moldova","-","2.7","5.6","6.4","6.8","Country"
"176","Europe","Romania","-","7.7","6.5","7.1","7.5","Country"
"177","Europe","Russian Federation","-","9.7","5.6","6.4","6.8","Country"
"178","Africa","Rwanda","-","3.1","6.5","7.3","7.4","Country"
"179","North America and Caribbean","Saint Kitts and Nevis","12.1","8.5","16.1","18.2","19.8","Country"
"180","North America and Caribbean","Saint Lucia","-","8.4","11.7","13.2","14.1","Country"
"181","North America and Caribbean","Saint Vincent and the Grenadines","-","8.8","8.0","8.8","9.2","Country"
"182","Western Pacific","Samoa","-","7.7","9.2","10.4","10.9","Country"
"183","Europe","San Marino","-","5.5","7.4","8.2","8.9","Country"
"184","Africa","Sao Tome and Principe","-","5.5","5.5","5.9","6.0","Country"
"185","Middle East and North Africa","Saudi Arabia","-","19.6","18.7","20.4","21.4","Country"
"186","Africa","Senegal","-","3.2","3.1","3.5","3.7","Country"
"187","Europe","Serbia","-","7.7","9.1","10.2","10.9","Country"
"188","Africa","Seychelles","-","12.1","8.5","9.1","9.5","Country"
"189","Africa","Sierra Leone","-","3.2","2.1","2.2","2.3","Country"
"190","Western Pacific","Singapore","-","9.5","11.6","13.3","14.3","Country"
"191","Europe","Slovakia","-","5.7","5.8","6.9","7.7","Country"
"192","Europe","Slovenia","-","7.5","5.8","6.8","7.3","Country"
"193","Western Pacific","Solomon Islands","-","15.3","19.8","21.4","22.3","Country"
"194","Africa","Somalia","-","4.3","6.5","7.3","7.4","Country"
"195","Africa","South Africa","-","7.0","10.8","12.2","13.0","Country"
"196","Africa","South Sudan","-","-","6.5","7.3","7.4","Country"
"197","Europe","Spain","-","6.3","10.3","11.8","12.7","Country"
"198","South-East Asia","Sri Lanka","-","7.5","11.3","12.1","12.6","Country"
"199","Middle East and North Africa","State of Palestine","-","9.2","9.2","10.2","10.6","Country"
"200","Middle East and North Africa","Sudan","-","8.6","18.9","20.1","20.7","Country"
"201","North America and Caribbean","Suriname","-","8.9","12.7","14.0","14.6","Country"
"202","Europe","Sweden","-","4.2","5.0","5.6","6.0","Country"
"203","Europe","Switzerland","-","5.9","4.6","5.1","5.4","Country"
"204","Middle East and North Africa","Syrian Arab Republic","-","9.9","14.9","15.9","16.4","Country"
"205","Western Pacific","Taiwan","9.1","8.3","9.7","11.5","12.6","Country"
"206","Europe","Tajikistan","-","6.3","6.6","7.3","7.7","Country"
"207","Western Pacific","Thailand","-","7.5","9.7","10.5","11.0","Country"
"208","Western Pacific","Timor-Leste","-","7.5","8.6","9.4","9.9","Country"
"209","Africa","Togo","-","3.3","2.1","2.2","2.3","Country"
"210","Western Pacific","Tokelau","-","11.5","-","-","-","Country"
"211","Western Pacific","Tonga","11.5","12.7","15.0","16.1","16.6","Country"
"212","North America and Caribbean","Trinidad and Tobago","14.1","12.7","12.7","14.4","15.4","Country"
"213","Middle East and North Africa","Tunisia","-","9.5","9.6","10.3","10.5","Country"
"214","Europe","Turkey","-","7.9","14.5","16.2","17.0","Country"
"215","Europe","Turkmenistan","-","2.7","6.7","7.1","7.6","Country"
"216","Western Pacific","Tuvalu","-","19.2","20.3","21.9","23.1","Country"
"217","Africa","Uganda","-","2.8","4.6","4.6","4.6","Country"
"218","Europe","Ukraine","-","2.9","5.6","6.4","6.8","Country"
